episode,level,reward,steps,epsilon
290,3,-184.31037026638353,82,0.23489314109365644
291,3,-183.87186593177748,70,0.23371867538818816
292,3,-183.8156659317775,68,0.23255008201124722
293,3,-183.47881406226273,67,0.231387331601191
294,3,-184.1316659317775,77,0.23023039494318503
295,3,-184.49131799995078,80,0.2290792429684691
296,3,-183.9087179999508,68,0.22793384675362674
297,3,-183.8229179999508,69,0.22679417751985861
298,3,-183.7462659317775,74,0.22566020663225933
299,3,-183.80346593177748,70,0.22453190559909803
300,3,-183.47881406226273,69,0.22340924607110255
301,3,-183.6727179999508,69,0.22229219984074702
302,3,-183.5768659317775,69,0.2211807388415433
303,3,-183.65221406226274,71,0.22007483514733558
304,3,-183.65266593177748,76,0.2189744609715989
305,3,-183.77397026638354,70,0.2178795886667409
306,3,-184.16786593177747,85,0.2167901907234072
307,3,-184.31092825126387,68,0.21570623976979014
308,3,-183.6727179999508,67,0.21462770857094118
309,3,-183.55201406226274,72,0.21355457002808648
310,3,-183.87282273067777,68,0.21248679717794605
311,3,-183.81686593177747,72,0.21142436319205632
312,3,-183.72726593177748,69,0.21036724137609603
313,3,-183.85421406226274,73,0.20931540516921554
314,3,-184.59264952063313,65,0.20826882814336947
315,3,-184.13431799995078,73,0.20722748400265262
316,3,-183.57966593177747,68,0.20619134658263935
317,3,-183.64826593177747,70,0.20516038984972615
318,3,-183.6731179999508,67,0.2041345879004775
319,3,-183.6699179999508,66,0.2031139149609751
320,3,-183.92837026638352,68,0.20209834538617025
321,3,-183.95002273067777,67,0.2010878536592394
322,3,-184.26583455854632,68,0.2000824143909432
323,3,-183.67346593177749,68,0.19908200231898848
324,3,-183.5961179999508,68,0.19808659230739353
325,3,-184.07377026638355,71,0.19709615934585656
326,3,-183.6715179999508,69,0.19611067854912728
327,3,-184.0506753924365,67,0.19513012515638165
328,3,-183.72721406226273,74,0.19415447453059972
329,3,-183.6687179999508,70,0.19318370215794672
330,3,-183.8781179999508,74,0.192217783647157
331,3,-184.21807539243648,79,0.1912566947289212
332,3,-184.0495179999508,73,0.1903004112552766
333,3,-183.7753179999508,67,0.18934890919900021
334,3,-184.00497026638354,69,0.18840216465300522
335,3,-183.7537179999508,71,0.18746015382974018
336,3,-183.7513179999508,67,0.1865228530605915
337,3,-183.6496659317775,67,0.18559023879528855
338,3,-183.62481406226274,70,0.1846622876013121
339,3,-183.82306593177748,71,0.18373897616330553
340,3,-183.7563179999508,69,0.182820281282489
341,3,-184.14582273067776,73,0.18190617987607657
342,3,-183.77657026638354,66,0.18099664897669618
343,3,-183.95602273067777,67,0.1800916657318127
344,3,-183.84857026638355,68,0.17919120740315364
345,3,-184.54314164937915,69,0.17829525136613786
346,3,-184.2040753924365,74,0.17740377510930716
347,3,-184.6028345585463,77,0.17651675623376062
348,3,-183.93697026638355,71,0.1756341724525918
349,3,-184.15012825126388,67,0.17475600159032884
350,3,-183.94402273067777,69,0.17388222158237718
351,3,-183.85037026638355,69,0.1730128104744653
352,3,-184.44968800621493,71,0.17214774642209296
353,3,-183.6747179999508,68,0.1712870076899825
354,3,-183.92857026638353,67,0.17043057265153258
355,3,-183.76977026638355,68,0.16957841978827493
356,3,-183.99797026638353,72,0.16873052768933355
357,3,-184.33032825126386,71,0.1678868750508869
358,3,-183.8377179999508,69,0.16704744067563246
359,3,-183.85377026638355,72,0.1662122034722543
360,3,-183.85417026638353,66,0.16538114245489302
361,3,-184.0482753924365,67,0.16455423674261854
362,3,-183.95562273067776,72,0.16373146555890544
363,3,-183.87242273067775,66,0.16291280823111093
364,3,-184.6082880062149,70,0.16209824418995536
365,3,-183.7721179999508,68,0.16128775296900558
366,3,-184.16512825126387,67,0.16048131420416054
367,3,-183.65206593177749,67,0.15967890763313974
368,3,-183.85637026638355,70,0.15888051309497406
369,3,-183.67726593177747,68,0.1580861105294992
370,3,-183.91931799995078,68,0.1572956799768517
371,3,-184.1354753924365,68,0.15650920157696743
372,3,-183.77297026638354,66,0.1557266555690826
373,3,-184.57422273067777,79,0.1549480222912372
374,3,-184.33318130676506,69,0.15417328217978102
375,3,-184.1775179999508,73,0.1534024157688821
376,3,-184.6332880062149,71,0.1526354036900377
377,3,-183.77597026638355,67,0.1518722266715875
378,3,-184.43043455854632,69,0.15111286553822956
379,3,-184.55134164937917,72,0.15035730121053842
380,3,-183.74731799995078,67,0.14960551470448571
381,3,-184.02777026638353,70,0.14885748713096328
382,3,-183.6735179999508,66,0.14811319969530845
383,3,-183.67691799995077,69,0.1473726336968319
384,3,-183.63921406226274,68,0.14663577052834775
385,3,-184.33158130676506,67,0.14590259167570602
386,3,-184.38312825126388,72,0.1451730787173275
387,3,-183.7727179999508,66,0.14444721332374086
388,3,-183.63021406226272,70,0.14372497725712216
389,3,-184.93850374794476,68,0.14300635237083656
390,3,-185.70995816919574,79,0.14229132060898236
391,3,-184.19502273067775,69,0.14157986400593744
392,3,-185.34417778587868,68,0.14087196468590776
393,3,-183.5734659317775,67,0.14016760486247823
394,3,-183.81831799995078,68,0.13946676683816583
395,3,-184.89139548764842,71,0.138769433003975
396,3,-184.4490880062149,69,0.13807558583895513
397,3,-183.5734659317775,71,0.13738520790976036
398,3,-185.91935816919573,79,0.13669828187021155
399,3,-185.00830374794475,68,0.13601479046086049
400,3,-187.12904952063312,95,0.1353347165085562
401,3,-183.47881406226273,65,0.1346580429260134
402,3,-184.58023455854632,70,0.13398475271138335
403,3,-187.89239548764843,110,0.13331482894782642
404,3,-183.8757179999508,72,0.13264825480308728
405,3,-183.65486593177746,69,0.13198501352907185
406,3,-183.77237026638355,65,0.1313250884614265
407,3,-183.8763179999508,72,0.13066846301911936
408,3,-183.77277026638353,65,0.13001512070402377
409,3,-187.35823455854631,110,0.12936504510050365
410,3,-183.5734659317775,69,0.12871821987500112
411,3,-208.52828248802592,312,0.12807462877562611
412,3,-183.65721406226274,71,0.12743425563174798
413,3,-183.77811799995078,71,0.12679708435358925
414,3,-183.85297026638355,71,0.1261630989318213
415,3,-183.47881406226273,65,0.1255322834371622
416,3,-183.84117026638353,67,0.12490462201997637
417,3,-287.66880760613617,1162,0.1242800989098765
418,3,-183.6727179999508,68,0.12365869841532712
419,3,-183.5784659317775,65,0.12304040492325048
420,3,-184.82044952063313,68,0.12242520289863423
421,3,-183.6727179999508,65,0.12181307688414106
422,3,-184.41243455854632,69,0.12120401149972035
423,3,-189.94322273067777,142,0.12059799144222175
424,3,-195.15695936003667,86,0.11999500148501063
425,3,-251.59511374495827,778,0.11939502647758558
426,3,-186.02251799995076,97,0.11879805134519765
427,3,-187.30043637715997,107,0.11820406108847166
428,3,-184.3611179999508,76,0.1176130407830293
429,3,-189.36126593177747,140,0.11702497557911415
430,3,-183.5734659317775,69,0.11643985070121858
431,3,-184.13002273067775,72,0.11585765144771248
432,3,-183.5734659317775,65,0.11527836319047392
433,3,-185.11466593177747,85,0.11470197137452155
434,3,-196.53757699691107,110,0.11412846151764894
435,3,-198.19369059464688,234,0.1135578192100607
436,3,-184.40226593177746,77,0.11299003011401039
437,3,-183.7701179999508,66,0.11242507996344034
438,3,-186.44026593177747,103,0.11186295456362313
439,3,-194.23239187796855,91,0.11130363979080501
440,3,-183.5961179999508,65,0.11074712159185099
441,3,-183.95237026638353,75,0.11019338598389174
442,3,-183.67811799995076,68,0.10964241905397228
443,3,-188.41365242147256,121,0.10909420695870241
444,3,-183.84897026638353,68,0.1085487359239089
445,3,-189.13486593177748,137,0.10800599224428936
446,3,-183.77521406226273,69,0.10746596228306791
